290,358
122,265
114,213
388,24
173,160
189,106
283,261
242,266
245,396
345,362
104,62
175,273
303,236
319,5
113,76
50,250
285,277
370,215
135,210
223,141
382,330
274,318
283,185
50,10
214,85
50,317
296,280
372,258
111,400
361,349
286,19
239,373
150,146
46,301
74,258
320,197
15,304
276,135
351,235
250,313
259,39
201,76
227,306
284,62
52,336
185,337
24,31
220,14
368,168
340,234
277,69
368,256
267,173
290,302
329,321
119,350
251,87
160,218
232,129
127,8
246,187
296,73
362,342
387,87
182,4
362,267
193,382
357,378
22,377
134,216
282,253
244,229
44,364
126,129
47,36
358,292
206,87
303,104
115,266
380,132
227,38
318,388
176,212
173,36
324,61
136,31
135,232
69,336
112,240
42,253
354,216
199,341
160,30
386,191
45,106
87,77
111,389
70,100
155,170
344,42
247,41
378,159
194,313
265,282
398,85
318,39
132,170
344,165
337,152
58,286
206,226
19,75
367,314
153,62
149,101
43,197
382,181
50,324
392,301
115,133
244,150
60,291
254,210
21,248
315,127
10,288
379,284
76,157
41,291
130,268
198,43
363,99
135,307
173,158
288,41
229,364
236,65
160,171
235,398
138,274
9,246
347,116
160,194
37,350
345,184
236,210
88,223
201,275
168,345
279,9
299,257
137,37
340,120
89,273
390,368
378,355
176,3
386,67
59,86
394,396
119,309
320,195
376,132
193,326
326,337
299,44
7,57
284,288
96,288
175,28
23,167
167,212
267,155
157,361
397,131
364,175
220,296
40,346
6,280
34,333
311,9
232,93
363,282
276,138
333,180
343,154
68,154
80,129
177,279
347,376
149,4
118,303
368,84
167,116
186,234
258,11
252,60
188,269
339,398
394,71
3,192
43,48
301,378
206,115
226,166
202,387
29,115
237,113
375,191
327,76
343,12
181,339
303,358
258,348
314,240
324,129
106,186
336,369
21,135
338,400
159,258
280,383
362,193
150,322
54,162
69,179
87,183
253,68
295,251
195,222
230,340
367,185
99,157
201,30
65,344
335,202
270,335
62,234
42,256
399,99
265,115
288,309
197,312
53,212
183,348
10,221
210,244
243,62
109,324
25,40
1,208
234,329
15,399
247,316
255,237
383,54
277,270
252,176
381,76
90,315
316,326
58,198
150,177
213,398
10,72
161,76
185,343
234,258
320,321
154,138
218,382
314,195
78,250
32,143
349,310
205,23
55,102
84,356
326,313
29,123
146,214
158,119
162,2
328,314
149,209
287,91
72,83
212,69
84,131
242,38
312,198
335,153
194,7
95,211
14,73
222,139
365,358
30,198
233,287
279,379
284,335
97,252
197,67
238,23
366,70
393,48
348,338
65,121
282,279
63,343
292,397
373,321
241,84
214,24
277,322
197,329
394,300
311,180
109,391
131,316
217,342
195,130
81,10
309,350
260,356
118,324
58,64
181,368
359,52
273,14
85,295
301,322
234,306
107,118
28,43
229,349
282,289
364,360
67,97
179,350
291,281
374,323
215,143
78,236
304,43
36,50
296,72
203,289
274,105
60,382
228,106
364,53
338,154
7,327
375,317
339,276
63,60
319,272
302,264
333,61
38,72
73,348
94,119
222,150
105,340
152,229
83,270
286,143
11,33
359,49
160,243
321,180
303,250
82,266
329,43
369,194
186,37
249,260
25,166
282,359
100,370
105,372
391,169
227,385
132,159
315,261
260,258
10,170
106,22
363,200
220,42
216,242
207,96
42,83
259,353
263,279
239,248
340,76
154,231
103,391
